col;type;dataframe
filename;object;root/
name;object;root/
country;object;root/
filename;object;root/ATMs/_array_/
root/ATMs/_array_/;int64;root/ATMs/_array_/
description;object;root/ATMs/_array_/
addr;object;root/ATMs/_array_/
GPS/lat;float64;root/ATMs/_array_/
GPS/lon;float64;root/ATMs/_array_/
filename;object;root/branches/_array_/
root/branches/_array_/;int64;root/branches/_array_/
addr;object;root/branches/_array_/
city;object;root/branches/_array_/
name;object;root/branches/_array_/
GPS/lat;float64;root/branches/_array_/
GPS/lon;float64;root/branches/_array_/
filename;object;root/branches/_array_/additional_info/_array_/
root/branches/_array_/;int64;root/branches/_array_/additional_info/_array_/
root/branches/_array_/additional_info/_array_/;int64;root/branches/_array_/additional_info/_array_/
unnamed_value;object;root/branches/_array_/additional_info/_array_/
filename;object;root/companies/_array_/
root/companies/_array_/;int64;root/companies/_array_/
name;object;root/companies/_array_/
addr;object;root/companies/_array_/
city;object;root/companies/_array_/
postcode;object;root/companies/_array_/
registration_number;object;root/companies/_array_/
