col,type,dataframe
filename,object,root/
name,object,root/
country,object,root/
filename,object,root/ATMs/
root/ATMs/,int64,root/ATMs/
description,object,root/ATMs/
addr,object,root/ATMs/
GPS/lat,float64,root/ATMs/
GPS/lon,float64,root/ATMs/
filename,object,root/array_in_array/
root/array_in_array/,int64,root/array_in_array/
unnamed_value,float64,root/array_in_array/
filename,object,root/branches/
root/branches/,int64,root/branches/
addr,object,root/branches/
city,object,root/branches/
name,object,root/branches/
GPS/lat,float64,root/branches/
GPS/lon,float64,root/branches/
filename,object,root/branches/additional_info/
root/branches/,int64,root/branches/additional_info/
root/branches/additional_info/,int64,root/branches/additional_info/
unnamed_value,object,root/branches/additional_info/
filename,object,root/companies/
root/companies/,int64,root/companies/
name,object,root/companies/
addr,object,root/companies/
city,object,root/companies/
postcode,object,root/companies/
registration_number,object,root/companies/
